NUM_LAYERS,HIDDEN_DIM,DROP_OUT,LR,WEIGHT_DECAY,EARLY_STOPPING,NUM_EPOCHS,train_ratio,test_ratio,wt_k,wt_t,wt_a,window_size,Accuracy,F-1 Macro,F-1 Weighted,epochs_completed
2,250,0.6,0.02,0,10,250,0.5,0.5,4,2,1,20,0.776699029,0.774574175,0.780311282,12
NUM_LAYERS,HIDDEN_DIM,DROP_OUT,LR,WEIGHT_DECAY,EARLY_STOPPING,NUM_EPOCHS,train_ratio,test_ratio,wt_k,wt_t,wt_a,window_size,Accuracy,F-1 Macro,F-1 Weighted,epochs_completed
2,200,0.5,0.02,0,10,200,0.5,0.5,10,5,2,20,0.786407767,0.778883685,0.789575802,36
2,200,0.5,0.02,0,10,200,0.5,0.5,10,5,2,20,0.786407767,0.778883685,0.789575802,12
2,250,0.6,0.02,0,10,250,0.5,0.5,4,2,1,20,0.621359223,0.617756209,0.60802807,13
2,250,0.6,0.02,0,10,250,0.5,0.5,4,2,1,20,0.737864078,0.729606223,0.741993005,23
2,250,0.6,0.02,0,10,250,0.5,0.5,4,2,1,20,0.747572816,0.736624705,0.750700847,21
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.776699029,0.771177436,0.780495124,25
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.796116505,0.789693729,0.799327893,12
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.766990291,0.761941448,0.771029366,31
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.766990291,0.761941448,0.771029366,31
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.776699029,0.771177436,0.780495124,12
2,350,0.55,0.02,0,10,200,0.5,0.5,20,10,5,20,0.786407767,0.780426357,0.789926244,34
2,380,0.45,0.02,0,10,200,0.5,0.5,9,3,1,20,0.809318996,0.807017544,0.807017544,21
2,400,0.5,0.02,0,10,200,0.45,0.55,30,10,5,20,0.780701754,0.775714173,0.783929013,23
2,420,0.45,0.02,0,10,200,0.4,0.6,9,3,1,20,0.75,0.748017044,0.751982956,12
2,420,0.45,0.02,0,10,200,0.65,0.35,9,3,1,20,0.898058252,0.897514866,0.898456736,14
